item_type,current_file_name,proposed_final_label,proposed_final_title,evidence_source_file,status,caution_note
main_figure,Main_Figure_Original_Source_Map.csv,Figure 1,"Overall workflow, study design, PRFT transcriptomic state framework, and fixed six-gene overview",supplementary/Main_Figure_Original_Source_Map.csv,needs manuscript cross-check,"Supported by Figure 1 panels A-D; source artwork is mostly author-held outside this public data archive."
main_figure,Main_Figure_Original_Source_Map.csv,Figure 2,PRFT-high differential expression and WGCNA module context,supplementary/Main_Figure_Original_Source_Map.csv,needs manuscript cross-check,"Supported by Figure 2 panels A-D; no DEG or WGCNA rerun implied."
main_figure,Main_Figure_Original_Source_Map.csv,Figure 3,"Candidate filtering, Cox/LASSO derivation context, and six-gene coefficient display",supplementary/Main_Figure_Original_Source_Map.csv,needs manuscript cross-check,"Supported by Figure 3 panels A-D; Locked Formula A must remain unchanged."
main_figure,Main_Figure_Original_Source_Map.csv,Figure 4,"PRFT validation, survival/ROC summaries, and clinical model context",supplementary/Main_Figure_Original_Source_Map.csv; metadata/model_selection/phase3A_fix_original_6gene_vs_top_models.csv,needs manuscript cross-check,"Data dictionary links Formula A/top-model comparison to Figure 4 and Supplementary Table S8."
main_figure,Main_Figure_Original_Source_Map.csv,Figure 5,"Machine-learning benchmarking, PRFT-high state recognition, SHAP, and PPI ranking",supplementary/Main_Figure_Original_Source_Map.csv; supplementary/ml_benchmarking/Supplementary_Table_S8__phase3A_fix_model_ranking_composite_score.csv,needs manuscript cross-check,"Use 150 planned combinations and 125 successfully fitted configurations; 126 ranking rows include locked Formula A reference model."
main_figure,Main_Figure_Original_Source_Map.csv,Figure 6,Bulk pathway and processed single-cell PRFT localization summaries,supplementary/Main_Figure_Original_Source_Map.csv,needs manuscript cross-check,"Supported by Figure 6 panels A-D; no new single-cell method implied."
main_figure,Main_Figure_Original_Source_Map.csv,Figure 7,BeatAML pharmacogenomic association and interpretation summary,supplementary/Main_Figure_Original_Source_Map.csv; data/BeatAML_SigCom_consistency_check_Phase17B_v2.csv,needs manuscript cross-check,"Higher BeatAML AUC means lower ex vivo sensitivity / greater relative resistance; not patient-level treatment guidance."
supplementary_table,Supplementary_Table_S6_LOCKED_formula_A_coefficients.csv,Supplementary Table S6,Locked Formula A gene coefficients,metadata/LOCKED_PRFT_six_gene_formula_A_coefficients.csv; metadata/README_formula_lock.md,locked,"Must remain the locked six-gene Formula A coefficient table."
supplementary_table,Supplementary_Table_S8__phase3A_fix_model_ranking_composite_score.csv,Supplementary Table S8,Phase3A-fix machine-learning benchmarking ranking and composite-score table,supplementary/ml_benchmarking/phase3A_fix_model_plan_150.csv; supplementary/ml_benchmarking/phase3A_fix_model_performance_success_only.csv; metadata/model_selection/phase3A_fix_original_6gene_vs_top_models.csv,locked,"S8 has 126 ranking rows; manuscript-facing text should state 125 successfully fitted configurations plus the locked Formula A reference model where needed."
supplementary_table,Supplementary_Table_Sx_SigCom_BeatAML_final_Phase17C.csv,Supplementary Table S9,Exploratory SigCom LINCS / CMap-L1000 perturbational reversal and BeatAML consistency summary,supplementary/Phase17C_SigCom_BeatAML_evidence_tier_table.csv; data/SigCom_LINCS_reversal_results_curated_Phase17B_v2.csv; data/BeatAML_SigCom_consistency_check_Phase17B_v2.csv,pending author confirmation,"Proposed S9 after locked S6 and S8; confirm no manuscript numbering conflict. Exploratory/hypothesis-generating only."
supplementary_figure,Supplementary_Figure_Sx_SigCom_BeatAML_final_design_Phase17C.csv,Supplementary Figure S1,Exploratory SigCom LINCS / CMap-L1000 perturbational reversal and BeatAML consistency design,supplementary/Phase17C_SigCom_BeatAML_evidence_tier_table.csv; data/CMap_LINCS_input_signature_LOCKED_A_Phase17A_lite.csv; data/SigCom_LINCS_reversal_results_curated_Phase17B_v2.csv; data/BeatAML_SigCom_consistency_check_Phase17B_v2.csv,pending author confirmation,"Confirm no manuscript supplementary-figure numbering conflict; not therapeutic efficacy or clinical treatment evidence."
support_file,Main_Figure_Original_Source_Map.csv,not assigned,Repository main-figure source map,supplementary/Main_Figure_Original_Source_Map.csv,locked as repository support file,"Not itself a manuscript figure or supplementary table."
support_file,Phase17C_SigCom_BeatAML_evidence_tier_table.csv,not assigned,Evidence-tier and wording-risk table for SigCom/BeatAML interpretation,supplementary/Phase17C_SigCom_BeatAML_evidence_tier_table.csv,locked as repository support file,"Use to police exploratory wording; not assigned a new supplementary table number here."
support_file,phase3A_fix_model_plan_150.csv,not assigned,ML planned-combination support table,supplementary/ml_benchmarking/phase3A_fix_model_plan_150.csv,locked as repository support file,"Supports 150 planned model combinations."
support_file,phase3A_fix_model_performance_success_only.csv,not assigned,ML success-only support table,supplementary/ml_benchmarking/phase3A_fix_model_performance_success_only.csv,locked as repository support file,"Supports 125 successfully fitted configurations."
support_file,phase3A_fix_model_performance_all.csv,not assigned,ML all-attempted support table,supplementary/ml_benchmarking/phase3A_fix_model_performance_all.csv,locked as repository support file,"Documents planned and attempted model records."
support_file,phase3A_fix_model_ranking_composite_score.csv,not assigned,Unprefixed copy/source of the S8 ranking table,supplementary/ml_benchmarking/phase3A_fix_model_ranking_composite_score.csv,locked as repository support file,"Keep consistent with S8 copy; no manuscript-facing renumbering needed unless authors choose to rename later."
