"risk_item","scope","status","hit_count","file_path","risk_level","action_recommended"
"Formula B","public_candidate_excluding_internal_QA","clear","0","","low","no action"
"Supplementary Figure S10 figure reference","public_candidate_excluding_internal_QA","clear","0","","low","no action"
"Figure 8","public_candidate_excluding_internal_QA","clear","0","","low","no action"
"126 successfully fitted","public_candidate_excluding_internal_QA","clear","0","","low","no action"
"ACOX2 0.03605 in final Figure2 Formula context","public_candidate_excluding_internal_QA","clear","0","","low","no action"
"TCGA 0.697/0.642/0.647","public_candidate_excluding_internal_QA","clear","0","","low","no action"
"TCGA 0.715/0.600/0.729","public_candidate_excluding_internal_QA","clear","0","","low","no action"
"GSE37642 1.01e-03","public_candidate_excluding_internal_QA","clear","0","","low","no action"
"GSE37642 0.510/0.543/0.513","public_candidate_excluding_internal_QA","clear","0","","low","no action"
"GSE12417 7.57e-02","public_candidate_excluding_internal_QA","clear","0","","low","no action"
"GSE12417 0.515/0.551/0.509","public_candidate_excluding_internal_QA","clear","0","","low","no action"
"local E absolute path in text files","public_candidate_excluding_internal_QA","clear","0","","low","no action"
"API key/token/credential-like string","public_candidate_excluding_internal_QA","clear","0","","low","no action"
"Formula B","internal_QA_advisory","hit","4","metadata/github_side_QA/github_side_QA_report.md; metadata/github_side_QA/private_git_sync_execution_report.md; metadata/github_side_QA/private_git_sync_risk_scan.csv; metadata/pre_github_QA_v2/public_repo_candidate_v2_repair_report.md","advisory","internal QA/advisory only"
"Supplementary Figure S10 figure reference","internal_QA_advisory","hit","5","metadata/github_side_QA/github_side_file_presence_check.csv; metadata/github_side_QA/github_side_QA_report.md; metadata/github_side_QA/private_git_sync_execution_report.md; metadata/github_side_QA/private_git_sync_file_presence_check.csv; metadata/github_side_QA/private_git_sync_risk_scan.csv","advisory","internal QA/advisory only"
"Figure 8","internal_QA_advisory","hit","4","metadata/github_side_QA/github_side_QA_report.md; metadata/github_side_QA/private_git_sync_execution_report.md; metadata/github_side_QA/private_git_sync_risk_scan.csv; metadata/pre_github_QA_v2/public_repo_candidate_v2_repair_report.md","advisory","internal QA/advisory only"
"126 successfully fitted","internal_QA_advisory","hit","4","metadata/github_side_QA/private_git_sync_execution_report.md; metadata/github_side_QA/private_git_sync_risk_scan.csv; metadata/pre_github_QA_v2/public_repo_candidate_v2_private_github_sync_recommendation.md; metadata/pre_github_QA_v2/public_repo_candidate_v2_repair_report.md","advisory","internal QA/advisory only"
"ACOX2 0.03605 in final Figure2 Formula context","internal_QA_advisory","hit","1","metadata/github_side_QA/private_git_sync_risk_scan.csv","advisory","internal QA/advisory only"
"TCGA 0.697/0.642/0.647","internal_QA_advisory","hit","3","metadata/github_side_QA/github_side_risk_scan.csv; metadata/github_side_QA/private_git_sync_risk_scan.csv; metadata/pre_github_QA_v2/public_repo_candidate_v2_final_risk_scan.csv","advisory","internal QA/advisory only"
"TCGA 0.715/0.600/0.729","internal_QA_advisory","hit","3","metadata/github_side_QA/github_side_risk_scan.csv; metadata/github_side_QA/private_git_sync_risk_scan.csv; metadata/pre_github_QA_v2/public_repo_candidate_v2_final_risk_scan.csv","advisory","internal QA/advisory only"
"GSE37642 1.01e-03","internal_QA_advisory","hit","3","metadata/github_side_QA/github_side_risk_scan.csv; metadata/github_side_QA/private_git_sync_risk_scan.csv; metadata/pre_github_QA_v2/public_repo_candidate_v2_final_risk_scan.csv","advisory","internal QA/advisory only"
"GSE37642 0.510/0.543/0.513","internal_QA_advisory","hit","3","metadata/github_side_QA/github_side_risk_scan.csv; metadata/github_side_QA/private_git_sync_risk_scan.csv; metadata/pre_github_QA_v2/public_repo_candidate_v2_final_risk_scan.csv","advisory","internal QA/advisory only"
"GSE12417 7.57e-02","internal_QA_advisory","hit","3","metadata/github_side_QA/github_side_risk_scan.csv; metadata/github_side_QA/private_git_sync_risk_scan.csv; metadata/pre_github_QA_v2/public_repo_candidate_v2_final_risk_scan.csv","advisory","internal QA/advisory only"
"GSE12417 0.515/0.551/0.509","internal_QA_advisory","hit","3","metadata/github_side_QA/github_side_risk_scan.csv; metadata/github_side_QA/private_git_sync_risk_scan.csv; metadata/pre_github_QA_v2/public_repo_candidate_v2_final_risk_scan.csv","advisory","internal QA/advisory only"
"local E absolute path in text files","internal_QA_advisory","hit","3","metadata/github_side_QA/github_side_git_status_record.txt; metadata/github_side_QA/private_git_sync_execution_report.md; metadata/github_side_QA/private_git_sync_git_status_record.txt","advisory","internal QA/advisory only"
"API key/token/credential-like string","internal_QA_advisory","clear","0","","low","no action"
"old-value numeric coincidence in legal supplementary tables","supplementary_table_numeric_advisory_nonblocking","hit","24","supplementary_tables/Supplementary_Table_S10__phase5_consensus_hub_genes.csv; supplementary_tables/Supplementary_Table_S10_part1.csv; supplementary_tables/Supplementary_Table_S11__phase3C_BeatAML_drug_correlation_all.csv; supplementary_tables/Supplementary_Table_S11__phase3C_fix_main_vs_supplement_recommendation.csv; supplementary_tables/Supplementary_Table_S11_part1.csv; supplementary_tables/Supplementary_Table_S11_part2.csv; supplementary_tables/Supplementary_Table_S12__phase4b_patient_celltype_pseudobulk_scores.csv; supplementary_tables/Supplementary_Table_S12_part1.csv; supplementary_tables/Supplementary_Table_S13__phase7_cleanup_main_signature_pathway_summary.csv; supplementary_tables/Supplementary_Table_S13__phase7_pathway_cross_cohort_consistency.csv; supplementary_tables/Supplementary_Table_S13_part1.csv; supplementary_tables/Supplementary_Table_S13_part2.csv; supplementary_tables/Supplementary_Table_S14.csv; supplementary_tables/Supplementary_Table_S14__phase6_external_validation_interpretation.csv; supplementary_tables/Supplementary_Table_S3__phase1_DEG.csv; supplementary_tables/Supplementary_Table_S3_part1.csv; supplementary_tables/Supplementary_Table_S4.csv; supplementary_tables/Supplementary_Table_S4__phase1_fix_715_candidates.csv; supplementary_tables/Supplementary_Table_S5.csv; supplementary_tables/Supplementary_Table_S5__phase1_33_candidates.csv; supplementary_tables/Supplementary_Table_S7__phase2_univariate_clinical_cox.csv; supplementary_tables/Supplementary_Table_S7_part2.csv; supplementary_tables/Supplementary_Table_S8.csv; supplementary_tables/Supplementary_Table_S8__phase3A_fix_model_ranking_composite_score.csv","advisory","nonblocking; no final Figure 2/legend context detected"
