repository_relative_path,file_name,file_type,directory,file_size,md5_or_sha256,content_role,supports_manuscript_claim,supports_ML_claim,supports_Formula_A,supports_BeatAML,supports_single_cell,supports_SigCom_LINCS,is_processed_data,is_selected_script,is_supplementary_file,public_release_ready,risk_status,comment
README.md,README.md,md,.,4041,bb11f1a1f761d8cfbf75775aaeb9eb3560465c70a7a0d7d1db0fb2144e7877e3,repository README,supporting,no,no,no,no,no,no,no,no,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
data/BeatAML_SigCom_consistency_check_Phase17B_v2.csv,BeatAML_SigCom_consistency_check_Phase17B_v2.csv,csv,data,14133,f9afea9c3b20939b852d7b67e72fdb005ba2ea00c002296ca0522cb01dcaf3ca,BeatAML processed result table,yes,no,no,yes,no,yes,yes,no,no,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
data/CMap_LINCS_input_signature_LOCKED_A_Phase17A_lite.csv,CMap_LINCS_input_signature_LOCKED_A_Phase17A_lite.csv,csv,data,72200,655f7f3387162507797b887f2d26b19058ddde3bf82e26cbac711adf62f74230,SigCom/LINCS processed result table,yes,no,no,no,no,yes,yes,no,no,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
data/GSE12417_GPL570_external_validation_risk_score.csv,GSE12417_GPL570_external_validation_risk_score.csv,csv,data,9086,b33a16b5c7335f13e60c6330d41cdad056f8b6273e16e973327951d9ab62e1d7,processed data table,yes,no,no,no,no,no,yes,no,no,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
data/GSE37642_GPL570_external_validation_risk_score.csv,GSE37642_GPL570_external_validation_risk_score.csv,csv,data,15527,75e543e07bb820f6ad8dc5155531af878c587f90339404ede2cdc2e9ac8a7705,processed data table,yes,no,no,no,no,no,yes,no,no,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
data/SigCom_LINCS_reversal_results_curated_Phase17B_v2.csv,SigCom_LINCS_reversal_results_curated_Phase17B_v2.csv,csv,data,61433,80752047aef8e478e1f0cf237c97c58e62cd28dbc0be49282ccd002c11b36028,SigCom/LINCS processed result table,yes,no,no,no,no,yes,yes,no,no,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
data/SigCom_LINCS_reversal_results_raw_imported_Phase17B_v2.csv,SigCom_LINCS_reversal_results_raw_imported_Phase17B_v2.csv,csv,data,52960,d0f998c47253589e3dd8554af556a0b1f74767df42838179697be76ca92660b6,SigCom/LINCS processed result table,yes,no,no,no,no,yes,yes,no,no,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
data/beataml_drug_sensitivity_summary.csv,beataml_drug_sensitivity_summary.csv,csv,data,2868,86b9f2f14ce5c29ebb0bdaedfdee4de47d049a928fef5e7d5882ca42122a5345,BeatAML processed result table,yes,no,no,yes,no,no,yes,no,no,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
data/beataml_high_low_risk_drug_response_difference_all.csv,beataml_high_low_risk_drug_response_difference_all.csv,csv,data,42344,363f7a0a6e1b4351dff20aab7e69c88e987d82806d41366b1c35e10216585896,BeatAML processed result table,yes,no,no,yes,no,no,yes,no,no,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
data/beataml_risk_score_by_sample.csv,beataml_risk_score_by_sample.csv,csv,data,103152,a6e7f07cbfd3578273279d08a870ed5880c363c538187dd54263b95afbcee47c,BeatAML processed result table,yes,no,no,yes,no,no,yes,no,no,yes,no_high_risk_true_risk_after_phase27i_scan_pending,Included in Phase27I final private-upload candidate.
