item_type,current_reference_or_file,phase27l_final_label,phase27l_final_title,evidence_source,status,caution_note
main_figure,"Fig. 1A-C; Figure 1 legend",Figure 1,PRFT workflow and transcriptomic state framework,AML_PRFT_Human_Genomics_submission_format_candidate_Phase27_v1.txt,corrected locked to current manuscript order,"Keep as workflow/state framework; do not force Phase27J fixed-six-gene-overview wording unless figure itself changes."
main_figure,"Fig. 2A-D; Figure 2 legend",Figure 2,"PRFT-high differential expression, WGCNA, candidate derivation context, and locked Formula A coefficient/formula panel",AML_PRFT_Human_Genomics_submission_format_candidate_Phase27_v1.txt,corrected locked to current manuscript order,"Figure 2D already carries the locked Formula A panel and traces to Supplementary Table S6."
main_figure,"Fig. 3A-D; Figure 3 legend",Figure 3,Prognostic validation and clinical independence,AML_PRFT_Human_Genomics_submission_format_candidate_Phase27_v1.txt,corrected locked to current manuscript order,"Replaces Phase27J earlier Figure 3 candidate-filtering topic."
main_figure,"Fig. 4A-D; Figure 4 legend",Figure 4,"Machine-learning benchmarking, survival-learning benchmark, and cross-cohort robustness",AML_PRFT_Human_Genomics_submission_format_candidate_Phase27_v1.txt,corrected locked to current manuscript order,"Keep ML wording as 150 planned combinations and 125 successfully fitted configurations."
main_figure,"Fig. 5A-D; Figure 5 legend",Figure 5,Clinical utility / model-presentation outputs,AML_PRFT_Human_Genomics_submission_format_candidate_Phase27_v1.txt,corrected locked to current manuscript order,"Interpret clinical utility outputs as exploratory/model-presentation evidence, not deployment readiness."
main_figure,"Fig. 6A-D; Figure 6 legend",Figure 6,BeatAML pharmacogenomic associations and drug-response ML support,AML_PRFT_Human_Genomics_submission_format_candidate_Phase27_v1.txt,corrected locked to current manuscript order,"Higher BeatAML AUC means lower ex vivo sensitivity / greater relative resistance; not clinical treatment prediction or recommendation."
main_figure,"Fig. 7A-D; Figure 7 legend",Figure 7,Processed single-cell PRFT localization,AML_PRFT_Human_Genomics_submission_format_candidate_Phase27_v1.txt,corrected locked to current manuscript order,"Restricted to processed-table module-score localization; no new single-cell method."
supplementary_table,Supplementary_Table_S6_LOCKED_formula_A_coefficients.csv,Supplementary Table S6,Locked Formula A coefficients,supplementary/Supplementary_Table_S6_LOCKED_formula_A_coefficients.csv; manuscript Formula A coefficient references,locked,"Must remain locked six-gene Formula A coefficient table."
supplementary_table,Supplementary_Table_S8__phase3A_fix_model_ranking_composite_score.csv,Supplementary Table S8,ML benchmarking ranking/composite table,supplementary/ml_benchmarking/Supplementary_Table_S8__phase3A_fix_model_ranking_composite_score.csv; manuscript ML benchmark references,locked,"Supports 150 planned / 125 successfully fitted wording; do not describe 126 ranking rows as 126 fitted configurations."
supplementary_table,Supplementary_Table_Sx_SigCom_BeatAML_final_Phase17C.csv,Supplementary Table S9,Exploratory SigCom LINCS / CMap-L1000 perturbational reversal and BeatAML consistency summary,supplementary/Supplementary_Table_Sx_SigCom_BeatAML_final_Phase17C.csv; Phase17C table title candidate; manuscript SigCom/BeatAML paragraph,pending author confirmation,"Safe proposed replacement for Supplementary Table Sx; exploratory/hypothesis-generating only."
supplementary_figure,Supplementary_Figure_Sx_SigCom_BeatAML_final_design_Phase17C.csv,Supplementary Figure number pending author confirmation,Exploratory SigCom LINCS / CMap-L1000 perturbational reversal and BeatAML consistency design,supplementary/Supplementary_Figure_Sx_SigCom_BeatAML_final_design_Phase17C.csv; Phase17C figure legend candidate; manuscript SigCom/BeatAML paragraph,pending author confirmation,"Do not assign S1 while older manuscript-side/package files use S1; if S1-S8 are retained and no S9 figure exists, S9 may be proposed cautiously after author confirmation."
