repository_relative_path,dataset_or_table_name,data_type,source_or_origin,processed_or_raw,main_variables_or_columns,related_manuscript_section,related_figure_or_table,related_supplementary_item,supports_claim,limitations_or_notes,public_release_ready,comment
data/BeatAML_SigCom_consistency_check_Phase17B_v2.csv,BeatAML_SigCom_consistency_check_Phase17B_v2.csv,BeatAML processed result table,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
data/CMap_LINCS_input_signature_LOCKED_A_Phase17A_lite.csv,CMap_LINCS_input_signature_LOCKED_A_Phase17A_lite.csv,SigCom/LINCS processed result table,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
data/GSE12417_GPL570_external_validation_risk_score.csv,GSE12417_GPL570_external_validation_risk_score.csv,processed data table,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
data/GSE37642_GPL570_external_validation_risk_score.csv,GSE37642_GPL570_external_validation_risk_score.csv,processed data table,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
data/SigCom_LINCS_reversal_results_curated_Phase17B_v2.csv,SigCom_LINCS_reversal_results_curated_Phase17B_v2.csv,SigCom/LINCS processed result table,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
data/SigCom_LINCS_reversal_results_raw_imported_Phase17B_v2.csv,SigCom_LINCS_reversal_results_raw_imported_Phase17B_v2.csv,SigCom/LINCS processed result table,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
data/beataml_drug_sensitivity_summary.csv,beataml_drug_sensitivity_summary.csv,BeatAML processed result table,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
data/beataml_high_low_risk_drug_response_difference_all.csv,beataml_high_low_risk_drug_response_difference_all.csv,BeatAML processed result table,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
data/beataml_risk_score_by_sample.csv,beataml_risk_score_by_sample.csv,BeatAML processed result table,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
data/beataml_risk_score_drug_correlation_all.csv,beataml_risk_score_drug_correlation_all.csv,BeatAML processed result table,Generated by this study from reused public AML resources or locked Formula A metadata.,processed,See table header.,Methods/Results/Discussion as applicable.,See manuscript and supplementary materials.,See supplementary manifest.,"Supports transparency, result inspection, and partial reproduction of reported derived analyses.",Public/reused raw source datasets are not redistributed unless author permissions and source terms allow. Verify final accessions and source metadata before public release.,yes,Phase27I refreshed data dictionary entry.
