drug_or_mechanism,source,BeatAML_available,BeatAML_AUC_direction,PRFT_high_interpretation,SigCom_reverser_direction,consistent_or_not,safe_wording,risk_note,comment
ketoconazole,mechanism_class_match,yes,higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,SigCom LINCS Reverser of PRFT-high signature,directionally complex,Mechanism-class comparison only; do not force drug-level equivalence.,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
SB-239063,mechanism_class_match,yes,higher AUC = lower ex vivo sensitivity / greater relative resistance,2 class rows with lower AUC in PRFT-high; 0 with higher AUC in PRFT-high,SigCom LINCS Reverser of PRFT-high signature,suggested convergent support,Mechanism-class comparison only; do not force drug-level equivalence.,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: MAPK / stress-kinase-related
AT-7519,direct_drug_match,yes,higher AUC = lower ex vivo sensitivity / greater relative resistance,High-risk group has lower AUC / greater ex vivo sensitivity,SigCom LINCS Reverser of PRFT-high signature,suggested convergent support,"SigCom prioritized the perturbagen as a PRFT-high signature reverser and BeatAML showed lower AUC in PRFT-high samples, consistent with greater ex vivo sensitivity.",Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: cell-cycle / CDK-related
dorsomorphin,mechanism_class_match,yes,higher AUC = lower ex vivo sensitivity / greater relative resistance,2 class rows with lower AUC in PRFT-high; 0 with higher AUC in PRFT-high,SigCom LINCS Reverser of PRFT-high signature,suggested convergent support,Mechanism-class comparison only; do not force drug-level equivalence.,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: MAPK / stress-kinase-related
clonazepam,mechanism_class_match,yes,higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,SigCom LINCS Reverser of PRFT-high signature,directionally complex,Mechanism-class comparison only; do not force drug-level equivalence.,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
OCO-1112,mechanism_class_match,yes,higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,SigCom LINCS Reverser of PRFT-high signature,directionally complex,Mechanism-class comparison only; do not force drug-level equivalence.,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
bortezomib,SigCom_only,no,higher AUC = lower ex vivo sensitivity / greater relative resistance,No direct BeatAML drug or conservative class comparator found.,SigCom LINCS Reverser of PRFT-high signature,not directly comparable,SigCom-only hypothesis-generating candidate; requires experimental and pharmacogenomic validation.,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: proteasome / proteostasis-related
BRD-K96977520,mechanism_class_match,yes,higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,SigCom LINCS Reverser of PRFT-high signature,directionally complex,Mechanism-class comparison only; do not force drug-level equivalence.,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
BRD-K94169505,mechanism_class_match,yes,higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,SigCom LINCS Reverser of PRFT-high signature,directionally complex,Mechanism-class comparison only; do not force drug-level equivalence.,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
vardenafil,mechanism_class_match,yes,higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,SigCom LINCS Reverser of PRFT-high signature,directionally complex,Mechanism-class comparison only; do not force drug-level equivalence.,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
BRD-K41129365,mechanism_class_match,yes,higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,SigCom LINCS Reverser of PRFT-high signature,directionally complex,Mechanism-class comparison only; do not force drug-level equivalence.,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
BRD-K80045183,mechanism_class_match,yes,higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,SigCom LINCS Reverser of PRFT-high signature,directionally complex,Mechanism-class comparison only; do not force drug-level equivalence.,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
KIN001-269,mechanism_class_match,yes,higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,SigCom LINCS Reverser of PRFT-high signature,directionally complex,Mechanism-class comparison only; do not force drug-level equivalence.,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
rasagiline,mechanism_class_match,yes,higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,SigCom LINCS Reverser of PRFT-high signature,directionally complex,Mechanism-class comparison only; do not force drug-level equivalence.,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
BRD-K77432048,mechanism_class_match,yes,higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,SigCom LINCS Reverser of PRFT-high signature,directionally complex,Mechanism-class comparison only; do not force drug-level equivalence.,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
