item,evidence_source,support_type,support_level,direction,recommended_use_in_manuscript,can_enter_results,can_enter_discussion,can_enter_supplementary_table,overclaim_risk,safe_wording,comment
Locked Formula A PRFT-high versus PRFT-low DEG signature,CMap_LINCS_input_signature_LOCKED_A_Phase17A_lite.csv; Formula A lock README,locked input provenance,manual_check_required,Local query input contains 150 upregulated and 150 downregulated PRFT-high genes; SigCom interface recognized 140 up and 131 down entries according to manual query context.,Supplementary Figure/Methods context only; do not alter locked model or main DEG analysis.,no,yes,yes,moderate if described as a new model or rerun analysis,locked Formula A PRFT-high versus PRFT-low DEG signature used for supplementary perturbational signature reversal,No DEG rerun and no Formula A change were performed in Phase17C.
SigCom LINCS reverser screen,SigCom_LINCS_reversal_results_curated_Phase17B_v2.csv,computational perturbational signature reversal,hypothesis_generating,100 imported SigCom LINCS Reverser rows for the PRFT-high signature,Discussion and Supplementary Materials only.,no,yes,yes,"high if written as therapeutic efficacy, clinical prediction, or mechanism proof",candidate perturbagens prioritized by opposite transcriptional signatures,"Rows derive from exported SigCom LINCS Reversers, not a new online rerun."
Top SigCom reverser perturbagens,SigCom_LINCS_top_reversers_Phase17B_v2.csv,ranked hypothesis prioritization,hypothesis_generating,30 top reverser rows retained for manual review,Supplementary table; avoid single-drug emphasis in main text.,no,yes,yes,high for AML-weak or other / unclear candidates,candidate PRFT-high transcriptional-state reversers requiring manual annotation and validation,Single perturbagens should not be presented as AML therapy evidence.
BeatAML-SigCom consistency check,BeatAML_SigCom_consistency_check_Phase17B_v2.csv,bounded ex vivo pharmacogenomic context,hypothesis_generating,6 suggested convergent support; 23 directionally complex; 3 not directly comparable,Discussion limitation and supplementary table.,no,yes,yes,high if directionally complex rows are treated as positive support,BeatAML provided limited and directionally complex ex vivo pharmacogenomic context,Higher BeatAML AUC means lower ex vivo sensitivity / greater relative resistance.
other / unclear,SigCom_LINCS_mechanism_class_summary_Phase17B_v2.csv,mechanism-class annotation,manual_check_required,88 perturbagens in SigCom reverser set,Do not highlight in main text.,no,no,yes,high if presented as drug efficacy or mechanism proof,mechanism class enriched among suggested PRFT-high signature reversers,Discuss mechanism classes before individual drugs. Manual verification required.
MAPK / stress-kinase-related,SigCom_LINCS_mechanism_class_summary_Phase17B_v2.csv,mechanism-class annotation,hypothesis_generating,4 perturbagens in SigCom reverser set,Mechanism-class level discussion only.,no,yes,yes,high if presented as drug efficacy or mechanism proof,mechanism class enriched among suggested PRFT-high signature reversers,Discuss mechanism classes before individual drugs. Manual verification required.
proteasome / proteostasis-related,SigCom_LINCS_mechanism_class_summary_Phase17B_v2.csv,mechanism-class annotation,hypothesis_generating,2 perturbagens in SigCom reverser set,Mechanism-class level discussion only.,no,yes,yes,high if presented as drug efficacy or mechanism proof,mechanism class enriched among suggested PRFT-high signature reversers,Discuss mechanism classes before individual drugs. Manual verification required.
HDAC-related,SigCom_LINCS_mechanism_class_summary_Phase17B_v2.csv,mechanism-class annotation,hypothesis_generating,1 perturbagens in SigCom reverser set,Mechanism-class level discussion only.,no,yes,yes,high if presented as drug efficacy or mechanism proof,mechanism class enriched among suggested PRFT-high signature reversers,Discuss mechanism classes before individual drugs. Manual verification required.
cell-cycle / CDK-related,SigCom_LINCS_mechanism_class_summary_Phase17B_v2.csv,mechanism-class annotation,hypothesis_generating,1 perturbagens in SigCom reverser set,Mechanism-class level discussion only.,no,yes,yes,high if presented as drug efficacy or mechanism proof,mechanism class enriched among suggested PRFT-high signature reversers,Discuss mechanism classes before individual drugs. Manual verification required.
SB-239063,BeatAML_SigCom_consistency_check_Phase17B_v2.csv,drug or mechanism-class consistency context,hypothesis_generating,2 class rows with lower AUC in PRFT-high; 0 with higher AUC in PRFT-high,Supplementary table; at most cautious Discussion mention.,no,yes,yes,Do not describe as clinical response prediction or therapy recommendation.,Mechanism-class comparison only; do not force drug-level equivalence.,Mechanism class: MAPK / stress-kinase-related
