result_type,set_name,display_name,main_text_priority,risk_cor_mean_rho,risk_cor_significant_cohorts,high_low_direction,high_low_significant_cohorts,PRFT_cor_mean_rho,PRFT_cor_significant_cohorts,PRFT_group_direction,PRFT_group_significant_cohorts,cross_cohort_consistent,cleaned_interpretation
bulk_signature,JAK_STAT_PDL1_set,JAK STAT PDL1 set,core,0.301842307479229,3,high_higher_all,3,0.0152497633822111,0,mixed,0,yes,Bulk signature scoring indicated a cross-cohort association with the JAK/STAT/PD-L1-related transcriptional axis.
bulk_signature,immune_checkpoint_set,immune checkpoint set,core,0.510605378836647,4,high_higher_all,4,-0.201786558585272,2,mixed,2,yes,Bulk signature scoring indicated a cross-cohort association with immune checkpoint-related transcriptional programs.
bulk_signature,monocyte_macrophage_like_set,monocyte macrophage like set,core,0.594357741165188,4,high_higher_all,4,-0.0559323461070634,2,mixed,1,yes,Cross-cohort bulk signature scoring linked the PRFT-related axis to monocyte/myeloid stress-adapted transcriptional programs.
bulk_signature,myeloid_suppressive_set,myeloid suppressive set,core,0.59247853657607,4,high_higher_all,4,-0.110156661435273,4,mixed,3,yes,Cross-cohort bulk signature scoring linked the PRFT-related axis to monocyte/myeloid stress-adapted transcriptional programs.
bulk_signature,oxidative_stress_NRF2_set,oxidative stress NRF2 set,core,0.413922124004789,4,high_higher_all,4,0.316277534334281,3,high_higher_all,3,yes,Bulk signature scoring indicated a cross-cohort association with oxidative stress/NRF2-related programs.
bulk_signature,phase3B_SHAP_core_axis_set,phase3B SHAP core axis set,supporting,0.343431428749174,3,high_higher_all,3,0.683026288910012,4,high_higher_all,4,yes,"This set was retained as supporting evidence for the PRFT-related transcriptional context, not as a standalone immune-state label."
bulk_signature,phase5_PPI_hub_set,phase5 PPI hub set,supporting,0.514975286984434,4,high_higher_all,4,-0.06147414878634,2,mixed,2,yes,"This set was retained as supporting evidence for the PRFT-related transcriptional context, not as a standalone immune-state label."
pathway_activity,IFN_response_pathway,IFN response pathway,core,0.385563889436381,4,high_higher_all,4,-0.10569407279705,1,mixed,1,yes,Pathway scoring linked the PRFT-related axis to IFN-response programs across cohorts.
pathway_activity,JAK_STAT_pathway,JAK STAT pathway,core,0.301842307479229,3,high_higher_all,3,0.0152497633822111,0,mixed,0,yes,Pathway scoring linked the PRFT-related axis to JAK/STAT activity across cohorts.
pathway_activity,TNF_NFKB_pathway,TNF NFKB pathway,core,0.364047501043875,4,high_higher_all,4,0.150957115190917,2,mixed,1,yes,Pathway scoring linked the PRFT-related axis to TNF/NF-kB-related inflammatory signaling across cohorts.
pathway_activity,inflammatory_response_pathway,inflammatory response pathway,core,0.412816930328918,4,high_higher_all,4,-0.00447812654492748,0,mixed,0,yes,Pathway scoring linked the PRFT-related axis to inflammatory-response programs across cohorts.
pathway_activity,oxidative_stress_NRF2_pathway,oxidative stress NRF2 pathway,core,0.413922124004789,4,high_higher_all,4,0.316277534334281,3,high_higher_all,3,yes,Pathway scoring linked the PRFT-related axis to oxidative stress/NRF2-related activity across cohorts.
