blocker,previous_status,current_status,cleared_or_remaining,next_action,comment
Final repository manifest,needs refresh after Phase27H,refreshed,cleared,Use metadata copy in private-upload candidate.,
Data dictionary,needs ML evidence additions,refreshed with ML entries,cleared,Review before public release.,
Code manifest,needs local source_path replacement,refreshed with repository-relative script paths,cleared,Confirm package versions before public release.,
ML evidence file descriptions,missing from Phase26 data dictionary,added in Phase27I data dictionary,cleared,Keep all 6 ML evidence files.,
Local source_path replacement,Phase26 paths were local absolute paths,repository-relative paths used in Code_manifest_Phase27I_final.csv,cleared,No local paths in refreshed code manifest.,
Package/version verification,not locked,22 package/tool entries require version verification,remaining,Verify from sessionInfo/renv/environment; do not invent versions.,
Final private-upload candidate,not generated,generated,cleared,Upload/sync this candidate to GitHub private repo.,
Final risk scan,needed,completed,cleared,Review scan before upload.,
GitHub private upload/update,ready after Phase27H,ready,cleared_for_next_step,Upload/sync manually; keep repo Private.,
GitHub private repo QA,not performed,pending,remaining,Check GitHub private UI after upload.,
GitHub public release,blocked,not performed,remaining,Only after private QA and author approval.,
GitHub release tag,blocked,not performed,remaining,Only after Public approval.,
Zenodo DOI,blocked,not generated,remaining,Only after GitHub release.,
Data/Code availability DOI backfill,blocked,not backfilled,remaining,Backfill after DOI exists.,
Final references,remaining,not addressed,remaining,Complete reference-manager bibliography.,
Figure/supplement numbering lock,remaining,not addressed,remaining,Complete numbering lock.,
Authors' contributions / all-author final approval,remaining,not addressed,remaining,Human approval required.,
Cover letter / portal fields,remaining,not addressed,remaining,Complete after repository/DOI fields.,
Direct submission readiness,not ready,not ready,remaining,"Requires GitHub private QA, public/release/DOI, references, numbering, approvals, portal fields.",
