risk_item,scope,status,hit_count,file_path,risk_level,action_recommended
formula_b,public_candidate_excluding_internal_QA_outputs,clear,0,,low,no action
supplementary_figure_s10,public_candidate_excluding_internal_QA_outputs,clear,0,,low,no action
figure_8,public_candidate_excluding_internal_QA_outputs,clear,0,,low,no action
126_successfully_fitted,public_candidate_excluding_internal_QA_outputs,clear,0,,low,no action
old_acox2_coefficient_in_formula_context,public_candidate_excluding_internal_QA_outputs,clear,0,,low,no action
old_tcga_0.697_0.642_0.647,public_candidate_excluding_internal_QA_outputs,clear,0,,low,no action
old_tcga_0.715_0.600_0.729,public_candidate_excluding_internal_QA_outputs,clear,0,,low,no action
old_gse37642_1.01e-03,public_candidate_excluding_internal_QA_outputs,clear,0,,low,no action
old_gse37642_0.510_0.543_0.513,public_candidate_excluding_internal_QA_outputs,clear,0,,low,no action
old_gse12417_7.57e-02,public_candidate_excluding_internal_QA_outputs,clear,0,,low,no action
old_gse12417_0.515_0.551_0.509,public_candidate_excluding_internal_QA_outputs,clear,0,,low,no action
local_absolute_windows_paths,public_candidate_excluding_internal_QA_outputs,clear,0,,low,no action
api_key_token_credential_like_strings,public_candidate_excluding_internal_QA_outputs,clear,0,,low,no action
formula_b,metadata_pre_github_QA_v2_internal_advisory,hit,1,metadata/pre_github_QA_v2/public_repo_candidate_v2_repair_report.md,advisory,internal QA historical/audit text only
supplementary_figure_s10,metadata_pre_github_QA_v2_internal_advisory,hit,1,metadata/pre_github_QA_v2/public_repo_candidate_v2_final_risk_scan.csv,advisory,internal QA historical/audit text only
figure_8,metadata_pre_github_QA_v2_internal_advisory,hit,5,metadata/pre_github_QA_v2/public_repo_candidate_v2_code_figure8_remnant_resolution.csv; metadata/pre_github_QA_v2/public_repo_candidate_v2_excluded_file_log.csv; metadata/pre_github_QA_v2/public_repo_candidate_v2_file_manifest.csv; metadata/pre_github_QA_v2/public_repo_candidate_v2_final_risk_scan.csv; metadata/pre_github_QA_v2/public_repo_candidate_v2_repair_report.md,advisory,internal QA historical/audit text only
126_successfully_fitted,metadata_pre_github_QA_v2_internal_advisory,hit,2,metadata/pre_github_QA_v2/public_repo_candidate_v2_private_github_sync_recommendation.md; metadata/pre_github_QA_v2/public_repo_candidate_v2_repair_report.md,advisory,internal QA historical/audit text only
old_acox2_coefficient_in_formula_context,metadata_pre_github_QA_v2_internal_advisory,clear,0,,low,no action
old_tcga_0.697_0.642_0.647,metadata_pre_github_QA_v2_internal_advisory,hit,1,metadata/pre_github_QA_v2/public_repo_candidate_v2_final_risk_scan.csv,advisory,internal QA historical/audit text only
old_tcga_0.715_0.600_0.729,metadata_pre_github_QA_v2_internal_advisory,hit,1,metadata/pre_github_QA_v2/public_repo_candidate_v2_final_risk_scan.csv,advisory,internal QA historical/audit text only
old_gse37642_1.01e-03,metadata_pre_github_QA_v2_internal_advisory,hit,1,metadata/pre_github_QA_v2/public_repo_candidate_v2_final_risk_scan.csv,advisory,internal QA historical/audit text only
old_gse37642_0.510_0.543_0.513,metadata_pre_github_QA_v2_internal_advisory,hit,1,metadata/pre_github_QA_v2/public_repo_candidate_v2_final_risk_scan.csv,advisory,internal QA historical/audit text only
old_gse12417_7.57e-02,metadata_pre_github_QA_v2_internal_advisory,hit,1,metadata/pre_github_QA_v2/public_repo_candidate_v2_final_risk_scan.csv,advisory,internal QA historical/audit text only
old_gse12417_0.515_0.551_0.509,metadata_pre_github_QA_v2_internal_advisory,hit,1,metadata/pre_github_QA_v2/public_repo_candidate_v2_final_risk_scan.csv,advisory,internal QA historical/audit text only
local_absolute_windows_paths,metadata_pre_github_QA_v2_internal_advisory,clear,0,,low,no action
api_key_token_credential_like_strings,metadata_pre_github_QA_v2_internal_advisory,clear,0,,low,no action
old_value_numeric_coincidence_in_legal_supplementary_tables,supplementary_table_numeric_advisory_nonblocking,hit,24,supplementary_tables/Supplementary_Table_S10__phase5_consensus_hub_genes.csv; supplementary_tables/Supplementary_Table_S10_part1.csv; supplementary_tables/Supplementary_Table_S11__phase3C_BeatAML_drug_correlation_all.csv; supplementary_tables/Supplementary_Table_S11__phase3C_fix_main_vs_supplement_recommendation.csv; supplementary_tables/Supplementary_Table_S11_part1.csv; supplementary_tables/Supplementary_Table_S11_part2.csv; supplementary_tables/Supplementary_Table_S12__phase4b_patient_celltype_pseudobulk_scores.csv; supplementary_tables/Supplementary_Table_S12_part1.csv; supplementary_tables/Supplementary_Table_S13__phase7_cleanup_main_signature_pathway_summary.csv; supplementary_tables/Supplementary_Table_S13__phase7_pathway_cross_cohort_consistency.csv; supplementary_tables/Supplementary_Table_S13_part1.csv; supplementary_tables/Supplementary_Table_S13_part2.csv; supplementary_tables/Supplementary_Table_S14.csv; supplementary_tables/Supplementary_Table_S14__phase6_external_validation_interpretation.csv; supplementary_tables/Supplementary_Table_S3__phase1_DEG.csv; supplementary_tables/Supplementary_Table_S3_part1.csv; supplementary_tables/Supplementary_Table_S4.csv; supplementary_tables/Supplementary_Table_S4__phase1_fix_715_candidates.csv; supplementary_tables/Supplementary_Table_S5.csv; supplementary_tables/Supplementary_Table_S5__phase1_33_candidates.csv; supplementary_tables/Supplementary_Table_S7__phase2_univariate_clinical_cox.csv; supplementary_tables/Supplementary_Table_S7_part2.csv; supplementary_tables/Supplementary_Table_S8.csv; supplementary_tables/Supplementary_Table_S8__phase3A_fix_model_ranking_composite_score.csv,advisory,nonblocking ordinary numeric values; no final Figure 2/legend context detected
