category,candidate_or_mechanism,evidence_source,direction,relationship_to_PRFT_high,support_level,recommended_interpretation,future_validation_experiment,risk_note,comment
mechanism_class_summary,other / unclear,SigCom LINCS reverser mechanism class summary,88 SigCom reverser perturbagens,Unclear; low priority for biological interpretation,manual_check_required,Low-priority unclear annotation; retain only for transparency.,Manual mechanism review first; then AML residual-like drug-response assay and PRFT/ferroptosis marker detection,high if presented as drug efficacy or mechanism proof,Discuss mechanism classes before individual drugs.
mechanism_class_summary,MAPK / stress-kinase-related,SigCom LINCS reverser mechanism class summary,4 SigCom reverser perturbagens,Relevant as a mechanism class for PRFT prioritization,hypothesis_generating,Mechanism-class candidate for PRFT-high vulnerability prioritization.,AML residual-like model; drug-response assay; lipid ROS assay; Fe2+ assay; MDA assay; SLC7A11 / GPX4 detection; JAK2 / p-STAT5 / PD-L1 detection if pathway context is carried into validation,high if presented as drug efficacy or mechanism proof,Discuss mechanism classes before individual drugs.
mechanism_class_summary,proteasome / proteostasis-related,SigCom LINCS reverser mechanism class summary,2 SigCom reverser perturbagens,Relevant as a mechanism class for PRFT prioritization,hypothesis_generating,Mechanism-class candidate for PRFT-high vulnerability prioritization.,AML residual-like model; drug-response assay; lipid ROS assay; Fe2+ assay; MDA assay; SLC7A11 / GPX4 detection; proteostasis marker detection; combination with Fer-1 / RSL3 / erastin if relevant,high if presented as drug efficacy or mechanism proof,Discuss mechanism classes before individual drugs.
mechanism_class_summary,HDAC-related,SigCom LINCS reverser mechanism class summary,1 SigCom reverser perturbagens,Relevant as a mechanism class for PRFT prioritization,hypothesis_generating,Mechanism-class candidate for PRFT-high vulnerability prioritization.,AML residual-like model; drug-response assay; lipid ROS assay; Fe2+ assay; MDA assay; SLC7A11 / GPX4 detection; ferroptosis-rescue assay; combination with Fer-1 / RSL3 / erastin if relevant,high if presented as drug efficacy or mechanism proof,Discuss mechanism classes before individual drugs.
mechanism_class_summary,cell-cycle / CDK-related,SigCom LINCS reverser mechanism class summary,1 SigCom reverser perturbagens,Relevant as a mechanism class for PRFT prioritization,hypothesis_generating,Mechanism-class candidate for PRFT-high vulnerability prioritization.,AML residual-like model; drug-response assay; lipid ROS assay; Fe2+ assay; MDA assay; SLC7A11 / GPX4 detection; cell-cycle state control; ferroptosis-rescue assay,high if presented as drug efficacy or mechanism proof,Discuss mechanism classes before individual drugs.
directionally_complex,ketoconazole,mechanism_class_match; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS Reverser of PRFT-high signature; higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,directionally_complex,Mechanism-class comparison only; do not force drug-level equivalence.,Manual mechanism review first; then AML residual-like drug-response assay and PRFT/ferroptosis marker detection,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
suggested_convergent_support,SB-239063,mechanism_class_match; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS Reverser of PRFT-high signature; higher AUC = lower ex vivo sensitivity / greater relative resistance,2 class rows with lower AUC in PRFT-high; 0 with higher AUC in PRFT-high,hypothesis_generating,Mechanism-class comparison only; do not force drug-level equivalence.,AML residual-like model; drug-response assay; lipid ROS assay; Fe2+ assay; MDA assay; SLC7A11 / GPX4 detection; JAK2 / p-STAT5 / PD-L1 detection if pathway context is carried into validation,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: MAPK / stress-kinase-related
suggested_convergent_support,AT-7519,direct_drug_match; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS Reverser of PRFT-high signature; higher AUC = lower ex vivo sensitivity / greater relative resistance,High-risk group has lower AUC / greater ex vivo sensitivity,moderate_support,"SigCom prioritized the perturbagen as a PRFT-high signature reverser and BeatAML showed lower AUC in PRFT-high samples, consistent with greater ex vivo sensitivity.",AML residual-like model; drug-response assay; lipid ROS assay; Fe2+ assay; MDA assay; SLC7A11 / GPX4 detection; cell-cycle state control; ferroptosis-rescue assay,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: cell-cycle / CDK-related
suggested_convergent_support,dorsomorphin,mechanism_class_match; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS Reverser of PRFT-high signature; higher AUC = lower ex vivo sensitivity / greater relative resistance,2 class rows with lower AUC in PRFT-high; 0 with higher AUC in PRFT-high,hypothesis_generating,Mechanism-class comparison only; do not force drug-level equivalence.,AML residual-like model; drug-response assay; lipid ROS assay; Fe2+ assay; MDA assay; SLC7A11 / GPX4 detection; JAK2 / p-STAT5 / PD-L1 detection if pathway context is carried into validation,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: MAPK / stress-kinase-related
directionally_complex,clonazepam,mechanism_class_match; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS Reverser of PRFT-high signature; higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,directionally_complex,Mechanism-class comparison only; do not force drug-level equivalence.,Manual mechanism review first; then AML residual-like drug-response assay and PRFT/ferroptosis marker detection,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
directionally_complex,OCO-1112,mechanism_class_match; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS Reverser of PRFT-high signature; higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,directionally_complex,Mechanism-class comparison only; do not force drug-level equivalence.,Manual mechanism review first; then AML residual-like drug-response assay and PRFT/ferroptosis marker detection,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
not_directly_comparable,bortezomib,SigCom_only; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS Reverser of PRFT-high signature; higher AUC = lower ex vivo sensitivity / greater relative resistance,No direct BeatAML drug or conservative class comparator found.,not_directly_comparable,SigCom-only hypothesis-generating candidate; requires experimental and pharmacogenomic validation.,AML residual-like model; drug-response assay; lipid ROS assay; Fe2+ assay; MDA assay; SLC7A11 / GPX4 detection; proteostasis marker detection; combination with Fer-1 / RSL3 / erastin if relevant,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: proteasome / proteostasis-related
directionally_complex,BRD-K96977520,mechanism_class_match; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS Reverser of PRFT-high signature; higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,directionally_complex,Mechanism-class comparison only; do not force drug-level equivalence.,Manual mechanism review first; then AML residual-like drug-response assay and PRFT/ferroptosis marker detection,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
directionally_complex,BRD-K94169505,mechanism_class_match; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS Reverser of PRFT-high signature; higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,directionally_complex,Mechanism-class comparison only; do not force drug-level equivalence.,Manual mechanism review first; then AML residual-like drug-response assay and PRFT/ferroptosis marker detection,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
directionally_complex,vardenafil,mechanism_class_match; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS Reverser of PRFT-high signature; higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,directionally_complex,Mechanism-class comparison only; do not force drug-level equivalence.,Manual mechanism review first; then AML residual-like drug-response assay and PRFT/ferroptosis marker detection,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
directionally_complex,BRD-K41129365,mechanism_class_match; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS Reverser of PRFT-high signature; higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,directionally_complex,Mechanism-class comparison only; do not force drug-level equivalence.,Manual mechanism review first; then AML residual-like drug-response assay and PRFT/ferroptosis marker detection,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
directionally_complex,BRD-K80045183,mechanism_class_match; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS Reverser of PRFT-high signature; higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,directionally_complex,Mechanism-class comparison only; do not force drug-level equivalence.,Manual mechanism review first; then AML residual-like drug-response assay and PRFT/ferroptosis marker detection,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
directionally_complex,KIN001-269,mechanism_class_match; SigCom LINCS reverser; BeatAML bounded consistency check,SigCom LINCS Reverser of PRFT-high signature; higher AUC = lower ex vivo sensitivity / greater relative resistance,83 class rows with lower AUC in PRFT-high; 64 with higher AUC in PRFT-high,directionally_complex,Mechanism-class comparison only; do not force drug-level equivalence.,Manual mechanism review first; then AML residual-like drug-response assay and PRFT/ferroptosis marker detection,Do not describe as clinical response prediction or therapy recommendation.,Mechanism class: other / unclear
